id,name,sport_type,teams,league,olympic_data
Q361207,Jaroslav Šilhavý,association football,FK Drnovice,,
Q361207,Jaroslav Šilhavý,association football,Czechoslovakia men's national association football team,,
Q361207,Jaroslav Šilhavý,association football,SK Slavia Prague,,
Q361207,Jaroslav Šilhavý,association football,FC Viktoria Plzeň,,
Q361207,Jaroslav Šilhavý,association football,FK Viktoria Žižkov,,
Q361207,Jaroslav Šilhavý,association football,Czechoslovakia national under-21 football team,,
Q361207,Jaroslav Šilhavý,association football,FK Hvězda Cheb,,
Q361289,Adolf Dorner,,,,
Q361587,Kevin Peter Hall,basketball,George Washington Revolutionaries men's basketball,NCAA Division I men's basketball,
Q371518,Tobias Ide,powerlifting,,,
Q371689,Ivan Nanut,,,,
Q373261,Nigel Murray,boccia,,,"2012 Summer Paralympics, 2008 Summer Paralympics, 2004 Summer Paralympics, 2000 Summer Paralympics"
Q373293,Jahon Qurbonov,boxing,,,"2010 Asian Games, 2006 Asian Games, 2014 Asian Games, 2008 Summer Olympics, 2012 Summer Olympics"
Q373699,Adrian Nicholas,,,,
Q375421,Lenka Ledvinová,athletics,,,2008 Summer Olympics
Q380050,Chuck Liddell,karate,The Pit,,
Q380050,Chuck Liddell,mixed martial arts,The Pit,,
Q380115,Michal Bílek,association football,Real Betis Balompié,,"1990 FIFA World Cup, UEFA Euro 2012"
Q380115,Michal Bílek,association football,Czechoslovakia men's national association football team,,"1990 FIFA World Cup, UEFA Euro 2012"
Q380115,Michal Bílek,association football,AC Sparta Prague,,"1990 FIFA World Cup, UEFA Euro 2012"
Q380115,Michal Bílek,association football,Czechia men's national football team,,"1990 FIFA World Cup, UEFA Euro 2012"
Q380115,Michal Bílek,association football,FK Viktoria Žižkov,,"1990 FIFA World Cup, UEFA Euro 2012"
Q380115,Michal Bílek,association football,FK Teplice,,"1990 FIFA World Cup, UEFA Euro 2012"
Q380115,Michal Bílek,association football,FK Hvězda Cheb,,"1990 FIFA World Cup, UEFA Euro 2012"
Q380407,Nikolai Fomenko,auto racing,,,24 Hours of Le Mans
Q380407,Nikolai Fomenko,alpine skiing,,,24 Hours of Le Mans
Q382073,Filip Jícha,handball,THW Kiel,,Q56317501
Q382073,Filip Jícha,handball,TBV Lemgo,,Q56317501
Q382478,Milovan Zoričić,association football,,,
Q388631,Ivan Hlinka,ice hockey,Vancouver Canucks,National Hockey League,"1972 Winter Olympics, 1976 Winter Olympics"
Q388631,Ivan Hlinka,ice hockey,HC Litvínov,National Hockey League,"1972 Winter Olympics, 1976 Winter Olympics"
Q388631,Ivan Hlinka,ice hockey,EV Zug,National Hockey League,"1972 Winter Olympics, 1976 Winter Olympics"
Q388631,Ivan Hlinka,ice hockey,HK Dukla Trenčín,National Hockey League,"1972 Winter Olympics, 1976 Winter Olympics"
Q393039,Hagesias of Syracuse,,,,
Q405989,Aenetus of Amyclae,,,,
Q406813,Alfred James Wilmott,table tennis,,,
Q427745,Max Braun,tug of war,Southwest Turnverein of Saint Louis,,1904 Summer Olympics
Q427820,Rob van den Wildenberg,cycle sport,,,2008 Summer Olympics
Q428673,Josef Silný,association football,Czechoslovakia men's national association football team,,1934 FIFA World Cup
Q428673,Josef Silný,association football,AC Sparta Prague,,1934 FIFA World Cup
Q428673,Josef Silný,association football,SK Slavia Prague,,1934 FIFA World Cup
Q428673,Josef Silný,association football,Bohemians 1905,,1934 FIFA World Cup
Q428673,Josef Silný,association football,SK Hanácká Slavia Kroměříž,,1934 FIFA World Cup
Q428673,Josef Silný,association football,Sporting Club Nimes,,1934 FIFA World Cup
Q429021,František Vaněk,ice hockey,HC Kometa Brno,,"1960 Winter Olympics, 1956 Winter Olympics"
Q430985,Patrick Philbin,athletics,,,1908 Summer Olympics
Q433466,Cylon of Athens,,,,
Q435761,Aleksandr Medved,amateur wrestling,,,"wrestling at the 1972 Summer Olympics – men's freestyle +100 kg (Olympic gold medal), 1964 Summer Olympics, 1968 Summer Olympics"
Q436172,Jerry Moffatt,bouldering,,,
Q436172,Jerry Moffatt,rock climbing,,,
Q436172,Jerry Moffatt,free solo climbing,,,
Q436172,Jerry Moffatt,sport climbing,,,
Q436172,Jerry Moffatt,traditional climbing,,,
Q438600,Erika Nyström,beach volleyball,,,
Q439743,Sheila Taormina,triathlon,Georgia Bulldogs swimming and diving,,"swimming at the 1996 Summer Olympics – women's 4 × 200 metre freestyle relay (Olympic gold medal), 1996 Summer Olympics (Olympic gold medal), 2000 Summer Olympics, 2004 Summer Olympics, 2008 Summer Olympics"
Q439743,Sheila Taormina,swimming,Georgia Bulldogs swimming and diving,,"swimming at the 1996 Summer Olympics – women's 4 × 200 metre freestyle relay (Olympic gold medal), 1996 Summer Olympics (Olympic gold medal), 2000 Summer Olympics, 2004 Summer Olympics, 2008 Summer Olympics"
Q439743,Sheila Taormina,modern pentathlon,Georgia Bulldogs swimming and diving,,"swimming at the 1996 Summer Olympics – women's 4 × 200 metre freestyle relay (Olympic gold medal), 1996 Summer Olympics (Olympic gold medal), 2000 Summer Olympics, 2004 Summer Olympics, 2008 Summer Olympics"
Q440237,Stan Mikita,ice hockey,Chicago Blackhawks,National Hockey League,
Q443218,Olga Orgonista,figure skating,,,figure skating at the 1932 Winter Olympics – pairs
Q445421,Věra Suková,tennis,,,
Q445799,Natascha Badmann,triathlon,,,
Q445799,Natascha Badmann,duathlon,,,
Q449205,Jiří Raška,ski jumping,,,"ski jumping at the 1968 Winter Olympics – large hill individual (Olympic silver medal), ski jumping at the 1968 Winter Olympics – normal hill individual (Olympic gold medal), 1972 Winter Olympics"
Q449547,Nicola Spieß,alpine skiing,,,1976 Winter Olympics
Q454730,Jarmila Nygrýnová,athletics,,,"1972 Summer Olympics, 1976 Summer Olympics, 1980 Summer Olympics"
Q458760,Gustl Berauer,Nordic combined,,,1936 Winter Olympics
Q461593,Kinga Baranowska,,,,
Q461814,Jan Marek,ice hockey,Lokomotiv Yaroslavl,,"2010 IIHF World Championship, 2011 IIHF World Championship, 2009 IIHF World Championship, 2007 IIHF World Championship"
Q461814,Jan Marek,ice hockey,Metallurg Magnitogorsk,,"2010 IIHF World Championship, 2011 IIHF World Championship, 2009 IIHF World Championship, 2007 IIHF World Championship"
Q461814,Jan Marek,ice hockey,HC Oceláři Třinec,,"2010 IIHF World Championship, 2011 IIHF World Championship, 2009 IIHF World Championship, 2007 IIHF World Championship"
Q463531,Jean-Baptiste Charcot,rugby union,Olympique,,"sailing at the 1900 Summer Olympics – 0 to .5 ton (Olympic silver medal), 1895–96 French Rugby Union Championship, 1894–95 French Rugby Union Championship, 1900 Summer Olympics"
Q463531,Jean-Baptiste Charcot,sailing,Olympique,,"sailing at the 1900 Summer Olympics – 0 to .5 ton (Olympic silver medal), 1895–96 French Rugby Union Championship, 1894–95 French Rugby Union Championship, 1900 Summer Olympics"
Q463639,Ana Mendieta,,,,
Q463971,František Raboň,road bicycle racing,HTC-Highroad,,"2011 UCI World Tour, 2009 UCI World Ranking, Vuelta a España"
Q463971,František Raboň,road bicycle racing,Elkov-Kasper,,"2011 UCI World Tour, 2009 UCI World Ranking, Vuelta a España"
Q463971,František Raboň,road bicycle racing,Soudal Quick-Step,,"2011 UCI World Tour, 2009 UCI World Ranking, Vuelta a España"
Q463971,František Raboň,road bicycle racing,T-Mobile,,"2011 UCI World Tour, 2009 UCI World Ranking, Vuelta a España"
Q465225,Sonya Thomas,,,,
Q471180,Tom Danielson,road bicycle racing,Mercury Cycling Team,,"2012 Tour de France, 2011 Tour de France, 2005 UCI ProTour, 2010 UCI World Ranking, 2012 UCI World Tour, 2011 UCI World Tour, 2013 UCI World Tour, 2013 Tour de France, 2006 UCI ProTour, 2015 UCI World Tour, Tour de France, Vuelta a España"
Q471180,Tom Danielson,road bicycle racing,EF Education-EasyPost,,"2012 Tour de France, 2011 Tour de France, 2005 UCI ProTour, 2010 UCI World Ranking, 2012 UCI World Tour, 2011 UCI World Tour, 2013 UCI World Tour, 2013 Tour de France, 2006 UCI ProTour, 2015 UCI World Tour, Tour de France, Vuelta a España"
Q471180,Tom Danielson,road bicycle racing,Discovery Channel,,"2012 Tour de France, 2011 Tour de France, 2005 UCI ProTour, 2010 UCI World Ranking, 2012 UCI World Tour, 2011 UCI World Tour, 2013 UCI World Tour, 2013 Tour de France, 2006 UCI ProTour, 2015 UCI World Tour, Tour de France, Vuelta a España"
Q471180,Tom Danielson,road bicycle racing,Fassa Bortolo,,"2012 Tour de France, 2011 Tour de France, 2005 UCI ProTour, 2010 UCI World Ranking, 2012 UCI World Tour, 2011 UCI World Tour, 2013 UCI World Tour, 2013 Tour de France, 2006 UCI ProTour, 2015 UCI World Tour, Tour de France, Vuelta a España"
Q471180,Tom Danielson,road bicycle racing,Saturn Cycling Team,,"2012 Tour de France, 2011 Tour de France, 2005 UCI ProTour, 2010 UCI World Ranking, 2012 UCI World Tour, 2011 UCI World Tour, 2013 UCI World Tour, 2013 Tour de France, 2006 UCI ProTour, 2015 UCI World Tour, Tour de France, Vuelta a España"
Q481811,Amy Alsop,goalball,,,
Q483137,Petr Čech,association football,Chelsea F.C.,Premier League,"UEFA Euro 2004, UEFA Euro 2016, UEFA Euro 2008, UEFA Euro 2012, 2006 FIFA World Cup"
Q483137,Petr Čech,ice hockey,Chelsea F.C.,Premier League,"UEFA Euro 2004, UEFA Euro 2016, UEFA Euro 2008, UEFA Euro 2012, 2006 FIFA World Cup"
Q483137,Petr Čech,association football,Arsenal F.C.,Premier League,"UEFA Euro 2004, UEFA Euro 2016, UEFA Euro 2008, UEFA Euro 2012, 2006 FIFA World Cup"
Q483137,Petr Čech,ice hockey,Arsenal F.C.,Premier League,"UEFA Euro 2004, UEFA Euro 2016, UEFA Euro 2008, UEFA Euro 2012, 2006 FIFA World Cup"
Q483137,Petr Čech,association football,Stade Rennais F.C.,Premier League,"UEFA Euro 2004, UEFA Euro 2016, UEFA Euro 2008, UEFA Euro 2012, 2006 FIFA World Cup"
Q483137,Petr Čech,ice hockey,Stade Rennais F.C.,Premier League,"UEFA Euro 2004, UEFA Euro 2016, UEFA Euro 2008, UEFA Euro 2012, 2006 FIFA World Cup"
Q483137,Petr Čech,association football,AC Sparta Prague,Premier League,"UEFA Euro 2004, UEFA Euro 2016, UEFA Euro 2008, UEFA Euro 2012, 2006 FIFA World Cup"
Q483137,Petr Čech,ice hockey,AC Sparta Prague,Premier League,"UEFA Euro 2004, UEFA Euro 2016, UEFA Euro 2008, UEFA Euro 2012, 2006 FIFA World Cup"
Q483137,Petr Čech,association football,Czechia men's national football team,Premier League,"UEFA Euro 2004, UEFA Euro 2016, UEFA Euro 2008, UEFA Euro 2012, 2006 FIFA World Cup"
Q483137,Petr Čech,ice hockey,Czechia men's national football team,Premier League,"UEFA Euro 2004, UEFA Euro 2016, UEFA Euro 2008, UEFA Euro 2012, 2006 FIFA World Cup"
Q483137,Petr Čech,association football,FK Chmel Blšany,Premier League,"UEFA Euro 2004, UEFA Euro 2016, UEFA Euro 2008, UEFA Euro 2012, 2006 FIFA World Cup"
Q483137,Petr Čech,ice hockey,FK Chmel Blšany,Premier League,"UEFA Euro 2004, UEFA Euro 2016, UEFA Euro 2008, UEFA Euro 2012, 2006 FIFA World Cup"
Q483137,Petr Čech,association football,Czech Republic national under-21 football team,Premier League,"UEFA Euro 2004, UEFA Euro 2016, UEFA Euro 2008, UEFA Euro 2012, 2006 FIFA World Cup"
Q483137,Petr Čech,ice hockey,Czech Republic national under-21 football team,Premier League,"UEFA Euro 2004, UEFA Euro 2016, UEFA Euro 2008, UEFA Euro 2012, 2006 FIFA World Cup"
Q483137,Petr Čech,association football,Czech Republic national under-17 football team,Premier League,"UEFA Euro 2004, UEFA Euro 2016, UEFA Euro 2008, UEFA Euro 2012, 2006 FIFA World Cup"
Q483137,Petr Čech,ice hockey,Czech Republic national under-17 football team,Premier League,"UEFA Euro 2004, UEFA Euro 2016, UEFA Euro 2008, UEFA Euro 2012, 2006 FIFA World Cup"
Q361207,Jaroslav Šilhavý,association football,FK Drnovice,,
Q361207,Jaroslav Šilhavý,association football,Czechoslovakia men's national association football team,,
Q361207,Jaroslav Šilhavý,association football,SK Slavia Prague,,
Q361207,Jaroslav Šilhavý,association football,FC Viktoria Plzeň,,
Q361207,Jaroslav Šilhavý,association football,FK Viktoria Žižkov,,
Q361207,Jaroslav Šilhavý,association football,Czechoslovakia national under-21 football team,,
Q361207,Jaroslav Šilhavý,association football,FK Hvězda Cheb,,
Q361289,Adolf Dorner,,,,
Q361587,Kevin Peter Hall,basketball,George Washington Revolutionaries men's basketball,NCAA Division I men's basketball,
Q371518,Tobias Ide,powerlifting,,,
Q371689,Ivan Nanut,,,,
Q373261,Nigel Murray,boccia,,,"2012 Summer Paralympics, 2008 Summer Paralympics, 2004 Summer Paralympics, 2000 Summer Paralympics"
Q373293,Jahon Qurbonov,boxing,,,"2010 Asian Games, 2006 Asian Games, 2014 Asian Games, 2008 Summer Olympics, 2012 Summer Olympics"
Q373699,Adrian Nicholas,,,,
Q375421,Lenka Ledvinová,athletics,,,2008 Summer Olympics
Q380050,Chuck Liddell,karate,The Pit,,
Q380050,Chuck Liddell,mixed martial arts,The Pit,,
Q380115,Michal Bílek,association football,Real Betis Balompié,,"1990 FIFA World Cup, UEFA Euro 2012"
Q380115,Michal Bílek,association football,Czechoslovakia men's national association football team,,"1990 FIFA World Cup, UEFA Euro 2012"
Q380115,Michal Bílek,association football,AC Sparta Prague,,"1990 FIFA World Cup, UEFA Euro 2012"
Q380115,Michal Bílek,association football,Czechia men's national football team,,"1990 FIFA World Cup, UEFA Euro 2012"
Q380115,Michal Bílek,association football,FK Viktoria Žižkov,,"1990 FIFA World Cup, UEFA Euro 2012"
Q380115,Michal Bílek,association football,FK Teplice,,"1990 FIFA World Cup, UEFA Euro 2012"
Q380115,Michal Bílek,association football,FK Hvězda Cheb,,"1990 FIFA World Cup, UEFA Euro 2012"
Q380407,Nikolai Fomenko,auto racing,,,24 Hours of Le Mans
Q380407,Nikolai Fomenko,alpine skiing,,,24 Hours of Le Mans
Q382073,Filip Jícha,handball,THW Kiel,,Q56317501
Q382073,Filip Jícha,handball,TBV Lemgo,,Q56317501
Q382478,Milovan Zoričić,association football,,,
Q388631,Ivan Hlinka,ice hockey,Vancouver Canucks,National Hockey League,"1972 Winter Olympics, 1976 Winter Olympics"
Q388631,Ivan Hlinka,ice hockey,HC Litvínov,National Hockey League,"1972 Winter Olympics, 1976 Winter Olympics"
Q388631,Ivan Hlinka,ice hockey,EV Zug,National Hockey League,"1972 Winter Olympics, 1976 Winter Olympics"
Q388631,Ivan Hlinka,ice hockey,HK Dukla Trenčín,National Hockey League,"1972 Winter Olympics, 1976 Winter Olympics"
Q393039,Hagesias of Syracuse,,,,
Q405989,Aenetus of Amyclae,,,,
Q406813,Alfred James Wilmott,table tennis,,,
Q427745,Max Braun,tug of war,Southwest Turnverein of Saint Louis,,1904 Summer Olympics
Q427820,Rob van den Wildenberg,cycle sport,,,2008 Summer Olympics
Q428673,Josef Silný,association football,Czechoslovakia men's national association football team,,1934 FIFA World Cup
Q428673,Josef Silný,association football,AC Sparta Prague,,1934 FIFA World Cup
Q428673,Josef Silný,association football,SK Slavia Prague,,1934 FIFA World Cup
Q428673,Josef Silný,association football,Bohemians 1905,,1934 FIFA World Cup
Q428673,Josef Silný,association football,SK Hanácká Slavia Kroměříž,,1934 FIFA World Cup
Q428673,Josef Silný,association football,Sporting Club Nimes,,1934 FIFA World Cup
Q429021,František Vaněk,ice hockey,HC Kometa Brno,,"1960 Winter Olympics, 1956 Winter Olympics"
Q430985,Patrick Philbin,athletics,,,1908 Summer Olympics
Q433466,Cylon of Athens,,,,
Q435761,Aleksandr Medved,amateur wrestling,,,"wrestling at the 1972 Summer Olympics – men's freestyle +100 kg (Olympic gold medal), 1964 Summer Olympics, 1968 Summer Olympics"
Q436172,Jerry Moffatt,bouldering,,,
Q436172,Jerry Moffatt,rock climbing,,,
Q436172,Jerry Moffatt,free solo climbing,,,
Q436172,Jerry Moffatt,sport climbing,,,
Q436172,Jerry Moffatt,traditional climbing,,,
Q438600,Erika Nyström,beach volleyball,,,
Q439743,Sheila Taormina,triathlon,Georgia Bulldogs swimming and diving,,"swimming at the 1996 Summer Olympics – women's 4 × 200 metre freestyle relay (Olympic gold medal), 1996 Summer Olympics (Olympic gold medal), 2000 Summer Olympics, 2004 Summer Olympics, 2008 Summer Olympics"
Q439743,Sheila Taormina,swimming,Georgia Bulldogs swimming and diving,,"swimming at the 1996 Summer Olympics – women's 4 × 200 metre freestyle relay (Olympic gold medal), 1996 Summer Olympics (Olympic gold medal), 2000 Summer Olympics, 2004 Summer Olympics, 2008 Summer Olympics"
Q439743,Sheila Taormina,modern pentathlon,Georgia Bulldogs swimming and diving,,"swimming at the 1996 Summer Olympics – women's 4 × 200 metre freestyle relay (Olympic gold medal), 1996 Summer Olympics (Olympic gold medal), 2000 Summer Olympics, 2004 Summer Olympics, 2008 Summer Olympics"
Q440237,Stan Mikita,ice hockey,Chicago Blackhawks,National Hockey League,
Q443218,Olga Orgonista,figure skating,,,figure skating at the 1932 Winter Olympics – pairs
Q445421,Věra Suková,tennis,,,
Q445799,Natascha Badmann,triathlon,,,
Q445799,Natascha Badmann,duathlon,,,
Q449205,Jiří Raška,ski jumping,,,"ski jumping at the 1968 Winter Olympics – large hill individual (Olympic silver medal), ski jumping at the 1968 Winter Olympics – normal hill individual (Olympic gold medal), 1972 Winter Olympics"
Q449547,Nicola Spieß,alpine skiing,,,1976 Winter Olympics
Q454730,Jarmila Nygrýnová,athletics,,,"1972 Summer Olympics, 1976 Summer Olympics, 1980 Summer Olympics"
Q458760,Gustl Berauer,Nordic combined,,,1936 Winter Olympics
Q461593,Kinga Baranowska,,,,
Q461814,Jan Marek,ice hockey,Lokomotiv Yaroslavl,,"2010 IIHF World Championship, 2011 IIHF World Championship, 2009 IIHF World Championship, 2007 IIHF World Championship"
Q461814,Jan Marek,ice hockey,Metallurg Magnitogorsk,,"2010 IIHF World Championship, 2011 IIHF World Championship, 2009 IIHF World Championship, 2007 IIHF World Championship"
Q461814,Jan Marek,ice hockey,HC Oceláři Třinec,,"2010 IIHF World Championship, 2011 IIHF World Championship, 2009 IIHF World Championship, 2007 IIHF World Championship"
Q463531,Jean-Baptiste Charcot,rugby union,Olympique,,"sailing at the 1900 Summer Olympics – 0 to .5 ton (Olympic silver medal), 1895–96 French Rugby Union Championship, 1894–95 French Rugby Union Championship, 1900 Summer Olympics"
Q463531,Jean-Baptiste Charcot,sailing,Olympique,,"sailing at the 1900 Summer Olympics – 0 to .5 ton (Olympic silver medal), 1895–96 French Rugby Union Championship, 1894–95 French Rugby Union Championship, 1900 Summer Olympics"
Q463639,Ana Mendieta,,,,
Q463971,František Raboň,road bicycle racing,HTC-Highroad,,"2011 UCI World Tour, 2009 UCI World Ranking, Vuelta a España"
Q463971,František Raboň,road bicycle racing,Elkov-Kasper,,"2011 UCI World Tour, 2009 UCI World Ranking, Vuelta a España"
Q463971,František Raboň,road bicycle racing,Soudal Quick-Step,,"2011 UCI World Tour, 2009 UCI World Ranking, Vuelta a España"
Q463971,František Raboň,road bicycle racing,T-Mobile,,"2011 UCI World Tour, 2009 UCI World Ranking, Vuelta a España"
Q465225,Sonya Thomas,,,,
Q471180,Tom Danielson,road bicycle racing,Mercury Cycling Team,,"2012 Tour de France, 2011 Tour de France, 2005 UCI ProTour, 2010 UCI World Ranking, 2012 UCI World Tour, 2011 UCI World Tour, 2013 UCI World Tour, 2013 Tour de France, 2006 UCI ProTour, 2015 UCI World Tour, Tour de France, Vuelta a España"
Q471180,Tom Danielson,road bicycle racing,EF Education-EasyPost,,"2012 Tour de France, 2011 Tour de France, 2005 UCI ProTour, 2010 UCI World Ranking, 2012 UCI World Tour, 2011 UCI World Tour, 2013 UCI World Tour, 2013 Tour de France, 2006 UCI ProTour, 2015 UCI World Tour, Tour de France, Vuelta a España"
Q471180,Tom Danielson,road bicycle racing,Discovery Channel,,"2012 Tour de France, 2011 Tour de France, 2005 UCI ProTour, 2010 UCI World Ranking, 2012 UCI World Tour, 2011 UCI World Tour, 2013 UCI World Tour, 2013 Tour de France, 2006 UCI ProTour, 2015 UCI World Tour, Tour de France, Vuelta a España"
Q471180,Tom Danielson,road bicycle racing,Fassa Bortolo,,"2012 Tour de France, 2011 Tour de France, 2005 UCI ProTour, 2010 UCI World Ranking, 2012 UCI World Tour, 2011 UCI World Tour, 2013 UCI World Tour, 2013 Tour de France, 2006 UCI ProTour, 2015 UCI World Tour, Tour de France, Vuelta a España"
Q471180,Tom Danielson,road bicycle racing,Saturn Cycling Team,,"2012 Tour de France, 2011 Tour de France, 2005 UCI ProTour, 2010 UCI World Ranking, 2012 UCI World Tour, 2011 UCI World Tour, 2013 UCI World Tour, 2013 Tour de France, 2006 UCI ProTour, 2015 UCI World Tour, Tour de France, Vuelta a España"
Q481811,Amy Alsop,goalball,,,
Q483137,Petr Čech,association football,Chelsea F.C.,Premier League,"UEFA Euro 2004, UEFA Euro 2016, UEFA Euro 2008, UEFA Euro 2012, 2006 FIFA World Cup"
Q483137,Petr Čech,ice hockey,Chelsea F.C.,Premier League,"UEFA Euro 2004, UEFA Euro 2016, UEFA Euro 2008, UEFA Euro 2012, 2006 FIFA World Cup"
Q483137,Petr Čech,association football,Arsenal F.C.,Premier League,"UEFA Euro 2004, UEFA Euro 2016, UEFA Euro 2008, UEFA Euro 2012, 2006 FIFA World Cup"
Q483137,Petr Čech,ice hockey,Arsenal F.C.,Premier League,"UEFA Euro 2004, UEFA Euro 2016, UEFA Euro 2008, UEFA Euro 2012, 2006 FIFA World Cup"
Q483137,Petr Čech,association football,Stade Rennais F.C.,Premier League,"UEFA Euro 2004, UEFA Euro 2016, UEFA Euro 2008, UEFA Euro 2012, 2006 FIFA World Cup"
Q483137,Petr Čech,ice hockey,Stade Rennais F.C.,Premier League,"UEFA Euro 2004, UEFA Euro 2016, UEFA Euro 2008, UEFA Euro 2012, 2006 FIFA World Cup"
Q483137,Petr Čech,association football,AC Sparta Prague,Premier League,"UEFA Euro 2004, UEFA Euro 2016, UEFA Euro 2008, UEFA Euro 2012, 2006 FIFA World Cup"
Q483137,Petr Čech,ice hockey,AC Sparta Prague,Premier League,"UEFA Euro 2004, UEFA Euro 2016, UEFA Euro 2008, UEFA Euro 2012, 2006 FIFA World Cup"
Q483137,Petr Čech,association football,Czechia men's national football team,Premier League,"UEFA Euro 2004, UEFA Euro 2016, UEFA Euro 2008, UEFA Euro 2012, 2006 FIFA World Cup"
Q483137,Petr Čech,ice hockey,Czechia men's national football team,Premier League,"UEFA Euro 2004, UEFA Euro 2016, UEFA Euro 2008, UEFA Euro 2012, 2006 FIFA World Cup"
Q483137,Petr Čech,association football,FK Chmel Blšany,Premier League,"UEFA Euro 2004, UEFA Euro 2016, UEFA Euro 2008, UEFA Euro 2012, 2006 FIFA World Cup"
Q483137,Petr Čech,ice hockey,FK Chmel Blšany,Premier League,"UEFA Euro 2004, UEFA Euro 2016, UEFA Euro 2008, UEFA Euro 2012, 2006 FIFA World Cup"
Q483137,Petr Čech,association football,Czech Republic national under-21 football team,Premier League,"UEFA Euro 2004, UEFA Euro 2016, UEFA Euro 2008, UEFA Euro 2012, 2006 FIFA World Cup"
Q483137,Petr Čech,ice hockey,Czech Republic national under-21 football team,Premier League,"UEFA Euro 2004, UEFA Euro 2016, UEFA Euro 2008, UEFA Euro 2012, 2006 FIFA World Cup"
Q483137,Petr Čech,association football,Czech Republic national under-17 football team,Premier League,"UEFA Euro 2004, UEFA Euro 2016, UEFA Euro 2008, UEFA Euro 2012, 2006 FIFA World Cup"
Q483137,Petr Čech,ice hockey,Czech Republic national under-17 football team,Premier League,"UEFA Euro 2004, UEFA Euro 2016, UEFA Euro 2008, UEFA Euro 2012, 2006 FIFA World Cup"
Q388631,Ivan Hlinka,ice hockey,HK Dukla Trenčín,National Hockey League,"1972 Winter Olympics, 1976 Winter Olympics"
Q393039,Hagesias of Syracuse,,,,
Q405989,Aenetus of Amyclae,,,,
Q406813,Alfred James Wilmott,table tennis,,,
Q427745,Max Braun,tug of war,Southwest Turnverein of Saint Louis,,1904 Summer Olympics
Q427820,Rob van den Wildenberg,cycle sport,,,2008 Summer Olympics
Q428673,Josef Silný,association football,Czechoslovakia men's national association football team,,1934 FIFA World Cup
Q428673,Josef Silný,association football,AC Sparta Prague,,1934 FIFA World Cup
Q428673,Josef Silný,association football,SK Slavia Prague,,1934 FIFA World Cup
Q428673,Josef Silný,association football,Bohemians 1905,,1934 FIFA World Cup
Q428673,Josef Silný,association football,SK Hanácká Slavia Kroměříž,,1934 FIFA World Cup
